Date,AAPL,SPY,MSFT,ETH ,BTC
6/27/2016,23.01,199.600006,48.43,#N/A,#N/A
6/28/2016,23.397499,203.199997,49.439999,#N/A,#N/A
6/29/2016,23.6,206.660004,50.540001,#N/A,#N/A
6/30/2016,23.9,209.479996,51.169998,#N/A,#N/A
7/1/2016,23.9725,209.919998,51.16,#N/A,#N/A
7/5/2016,23.747499,208.410004,51.169998,#N/A,#N/A
7/6/2016,23.8825,209.660004,51.380001,#N/A,#N/A
7/7/2016,23.985001,209.529999,51.380001,#N/A,#N/A
7/8/2016,24.17,212.649994,52.299999,#N/A,#N/A
7/11/2016,24.245001,213.399994,52.59,#N/A,#N/A
7/12/2016,24.355,214.949997,53.209999,#N/A,#N/A
7/13/2016,24.217501,214.919998,53.509998,#N/A,#N/A
7/14/2016,24.6975,216.119995,53.740002,#N/A,#N/A
7/15/2016,24.695,215.830002,53.700001,#N/A,#N/A
7/18/2016,24.9575,216.410004,53.959999,#N/A,#N/A
7/19/2016,24.967501,216.190002,53.09,#N/A,#N/A
7/20/2016,24.99,217.089996,55.91,#N/A,#N/A
7/21/2016,24.8575,216.270004,55.799999,#N/A,#N/A
7/22/2016,24.665001,217.240005,56.57,#N/A,#N/A
7/25/2016,24.334999,216.649994,56.73,#N/A,#N/A
7/26/2016,24.1675,216.75,56.759998,#N/A,#N/A
7/27/2016,25.737499,216.520004,56.189999,#N/A,#N/A
7/28/2016,26.084999,216.770004,56.209999,#N/A,#N/A
7/29/2016,26.0525,217.119995,56.68,#N/A,#N/A
8/1/2016,26.512501,216.940002,56.580002,#N/A,#N/A
8/2/2016,26.120001,215.550003,56.580002,#N/A,#N/A
8/3/2016,26.4475,216.179993,56.970001,#N/A,#N/A
8/4/2016,26.467501,216.410004,57.389999,#N/A,#N/A
8/5/2016,26.870001,218.179993,57.959999,#N/A,#N/A
8/8/2016,27.092501,218.050003,58.060001,#N/A,#N/A
8/9/2016,27.202499,218.179993,58.200001,#N/A,#N/A
8/10/2016,27,217.639999,58.02,#N/A,#N/A
8/11/2016,26.9825,218.649994,58.299999,#N/A,#N/A
8/12/2016,27.045,218.460007,57.939999,#N/A,#N/A
8/15/2016,27.370001,219.089996,58.119999,#N/A,#N/A
8/16/2016,27.344999,217.960007,57.439999,#N/A,#N/A
8/17/2016,27.305,218.369995,57.560001,#N/A,#N/A
8/18/2016,27.27,218.860001,57.599998,#N/A,#N/A
8/19/2016,27.34,218.539993,57.619999,#N/A,#N/A
8/22/2016,27.127501,218.529999,57.669998,#N/A,#N/A
8/23/2016,27.2125,218.970001,57.889999,#N/A,#N/A
8/24/2016,27.0075,217.850006,57.950001,#N/A,#N/A
8/25/2016,26.8925,217.699997,58.169998,#N/A,#N/A
8/26/2016,26.735001,217.289993,58.029999,#N/A,#N/A
8/29/2016,26.705,218.360001,58.099998,#N/A,#N/A
8/30/2016,26.5,218,57.889999,#N/A,#N/A
8/31/2016,26.525,217.380005,57.459999,#N/A,#N/A
9/1/2016,26.682501,217.389999,57.59,#N/A,#N/A
9/2/2016,26.932501,218.369995,57.669998,#N/A,#N/A
9/6/2016,26.924999,219.029999,57.610001,#N/A,#N/A
9/7/2016,27.09,219.009995,57.66,#N/A,#N/A
9/8/2016,26.379999,218.509995,57.43,#N/A,#N/A
9/9/2016,25.782499,213.279999,56.209999,#N/A,#N/A
9/12/2016,26.360001,216.339996,57.049999,#N/A,#N/A
9/13/2016,26.987499,213.229996,56.529999,#N/A,#N/A
9/14/2016,27.942499,213.149994,56.259998,#N/A,#N/A
9/15/2016,28.8925,215.279999,57.189999,#N/A,#N/A
9/16/2016,28.73,213.369995,57.25,#N/A,#N/A
9/19/2016,28.395,213.410004,56.93,#N/A,#N/A
9/20/2016,28.3925,213.419998,56.810001,#N/A,#N/A
9/21/2016,28.387501,215.820007,57.759998,#N/A,#N/A
9/22/2016,28.655001,217.179993,57.82,#N/A,#N/A
9/23/2016,28.1775,215.990005,57.43,#N/A,#N/A
9/26/2016,28.219999,214.240005,56.900002,#N/A,#N/A
9/27/2016,28.272499,215.570007,57.950001,#N/A,#N/A
9/28/2016,28.487499,216.639999,58.029999,#N/A,#N/A
9/29/2016,28.045,214.679993,57.400002,#N/A,#N/A
9/30/2016,28.262501,216.300003,57.599998,#N/A,#N/A
10/3/2016,28.129999,215.779999,57.419998,#N/A,#N/A
10/4/2016,28.25,214.679993,57.240002,#N/A,#N/A
10/5/2016,28.262501,215.630005,57.639999,#N/A,#N/A
10/6/2016,28.4725,215.779999,57.740002,#N/A,#N/A
10/7/2016,28.514999,215.039993,57.799999,#N/A,#N/A
10/10/2016,29.012501,216.160004,58.040001,#N/A,#N/A
10/11/2016,29.075001,213.429993,57.189999,#N/A,#N/A
10/12/2016,29.334999,213.710007,57.110001,#N/A,#N/A
10/13/2016,29.245001,213.009995,56.919998,#N/A,#N/A
10/14/2016,29.407499,213.119995,57.419998,#N/A,#N/A
10/17/2016,29.387501,212.380005,57.220001,#N/A,#N/A
10/18/2016,29.3675,213.710007,57.66,#N/A,#N/A
10/19/2016,29.280001,214.279999,57.529999,#N/A,#N/A
10/20/2016,29.264999,213.880005,57.25,#N/A,#N/A
10/21/2016,29.15,213.979996,59.66,#N/A,#N/A
10/24/2016,29.4125,214.889999,61,#N/A,#N/A
10/25/2016,29.5625,214.169998,60.990002,#N/A,#N/A
10/26/2016,28.897499,213.740005,60.630001,#N/A,#N/A
10/27/2016,28.620001,213.169998,60.099998,#N/A,#N/A
10/28/2016,28.43,212.539993,59.869999,#N/A,#N/A
10/31/2016,28.385,212.550003,59.919998,#N/A,#N/A
11/1/2016,27.872499,211.009995,59.799999,#N/A,#N/A
11/2/2016,27.897499,209.740005,59.43,#N/A,#N/A
11/3/2016,27.4575,208.779999,59.209999,#N/A,#N/A
11/4/2016,27.209999,208.550003,58.709999,#N/A,#N/A
11/7/2016,27.602501,213.149994,60.419998,#N/A,#N/A
11/8/2016,27.764999,214.110001,60.470001,#N/A,#N/A
11/9/2016,27.719999,216.380005,60.169998,#N/A,#N/A
11/10/2016,26.9475,216.919998,58.700001,#N/A,#N/A
11/11/2016,27.1075,216.419998,59.02,#N/A,#N/A
11/14/2016,26.4275,216.589996,58.119999,#N/A,#N/A
11/15/2016,26.7775,218.279999,58.869999,#N/A,#N/A
11/16/2016,27.497499,217.869995,59.650002,#N/A,#N/A
11/17/2016,27.487499,218.990005,60.639999,#N/A,#N/A
11/18/2016,27.514999,218.5,60.349998,#N/A,#N/A
11/21/2016,27.932501,220.149994,60.860001,#N/A,#N/A
11/22/2016,27.950001,220.580002,61.119999,#N/A,#N/A
11/23/2016,27.807501,220.699997,60.400002,#N/A,#N/A
11/25/2016,27.9475,221.520004,60.529999,#N/A,#N/A
